SchoolID,SchoolName,Sector,Year,GraduateCnt,SalaryOutlay,TeacherCnt,UndergraduateCnt,Cohort
197869,Appalachian State University,1,2012,1877,62327615,901,15712,System
197869,Appalachian State University,1,2013,1813,62484822,901,16025,System
197869,Appalachian State University,1,2014,1771,63872066,920,16255,System
197869,Appalachian State University,1,2015,1642,65648607,930,16290,System
197869,Appalachian State University,1,2016,1700,71149902,951,16595,System
197869,Appalachian State University,1,2017,1794,73296255,970,17017,System
197869,Appalachian State University,1,2018,1727,75762525,1010,17381,System
197869,Appalachian State University,1,2019,1762,76193914,1014,17518,System
197869,Appalachian State University,1,2020,1962,77921530,1037,18061,System
197869,Appalachian State University,1,2021,2086,75400833,1033,18555,System
197869,Appalachian State University,1,2022,1878,83896559,1043,18558,System
197869,Appalachian State University,1,2023,1848,89147096,1092,19405,System
198464,East Carolina University,1,2012,5649,90325351,1213,21298,System
198464,East Carolina University,1,2013,5379,95692405,1248,21508,System
198464,East Carolina University,1,2014,5259,88545199,1178,22252,System
198464,East Carolina University,1,2015,5250,96020470,1240,23039,System
198464,East Carolina University,1,2016,5993,102100994,1224,22969,System
198464,East Carolina University,1,2017,5866,103737364,1223,23265,System
198464,East Carolina University,1,2018,5647,105510678,1260,23071,System
198464,East Carolina University,1,2019,5570,107622333,1283,23081,System
198464,East Carolina University,1,2020,5742,101416835,1218,23056,System
198464,East Carolina University,1,2021,5558,97417411,1166,22463,System
198464,East Carolina University,1,2022,5463,101361088,1160,21688,System
198464,East Carolina University,1,2023,5457,107121704,1185,21328,System
198507,Elizabeth City State University,1,2012,118,10653097,153,2760,System
198507,Elizabeth City State University,1,2013,85,9529567,139,2336,System
198507,Elizabeth City State University,1,2014,62,8584740,125,1805,System
198507,Elizabeth City State University,1,2015,50,6883673,101,1535,System
198507,Elizabeth City State University,1,2016,47,7004797,101,1310,System
198507,Elizabeth City State University,1,2017,43,6737444,96,1368,System
198507,Elizabeth City State University,1,2018,41,6623191,96,1636,System
198507,Elizabeth City State University,1,2019,77,6165571,89,1692,System
198507,Elizabeth City State University,1,2020,92,6178863,88,1910,System
198507,Elizabeth City State University,1,2021,98,5898627,84,1956,System
198507,Elizabeth City State University,1,2022,116,6479115,87,2033,System
198507,Elizabeth City State University,1,2023,117,6671014,88,2048,System
198543,Fayetteville State University,1,2012,773,20350064,277,5287,System
198543,Fayetteville State University,1,2013,769,20386212,270,5410,System
198543,Fayetteville State University,1,2014,652,18601786,242,5247,System
198543,Fayetteville State University,1,2015,598,19271956,255,5506,System
198543,Fayetteville State University,1,2016,683,20464090,256,5540,System
198543,Fayetteville State University,1,2017,833,21536357,266,5393,System
198543,Fayetteville State University,1,2018,845,21609663,267,5473,System
198543,Fayetteville State University,1,2019,907,22018500,269,5644,System
198543,Fayetteville State University,1,2020,1065,21416294,266,5661,System
198543,Fayetteville State University,1,2021,1191,20007362,250,5557,System
198543,Fayetteville State University,1,2022,1039,20972494,257,5748,System
198543,Fayetteville State University,1,2023,1002,21447089,254,5845,System
199102,North Carolina A & T State University,1,2012,1713,34714355,470,8923,System
199102,North Carolina A & T State University,1,2013,1689,35267995,462,8872,System
199102,North Carolina A & T State University,1,2014,1522,35965285,439,9203,System
199102,North Carolina A & T State University,1,2015,1499,34193399,411,9353,System
199102,North Carolina A & T State University,1,2016,1509,37442045,455,9668,System
199102,North Carolina A & T State University,1,2017,1536,37583191,445,10341,System
199102,North Carolina A & T State University,1,2018,1513,39011624,449,10629,System
