UnitID,Institution Name,Sector of institution (HD2023),Instructional staff on 9  10  11 or 12 month contract-total (SAL2023_IS  All full-time instructional staff total),Salary outlays - total (SAL2023_IS  All full-time instructional staff total),Grand total (EF2023  All students  Undergraduate total),Grand total (EF2023  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2022_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2022_IS_RV  All full-time instructional staff total),Grand total (EF2022_RV  All students  Undergraduate total),Grand total (EF2022_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2021_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2021_IS_RV  All full-time instructional staff total),Grand total (EF2021_RV  All students  Undergraduate total),Grand total (EF2021_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2020_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2020_IS_RV  All full-time instructional staff total),Grand total (EF2020_RV  All students  Undergraduate total),Grand total (EF2020_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2019_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2019_IS_RV  All full-time instructional staff total),Grand total (EF2019_RV  All students  Undergraduate total),Grand total (EF2019_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2018_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2018_IS_RV  All full-time instructional staff total),Grand total (EF2018_RV  All students  Undergraduate total),Grand total (EF2018_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2017_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2017_IS_RV  All full-time instructional staff total),Grand total (EF2017_RV  All students  Undergraduate total),Grand total (EF2017_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2016_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2016_IS_RV  All full-time instructional staff total),Grand total (EF2016_RV  All students  Undergraduate total),Grand total (EF2016_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2015_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2015_IS_RV  All full-time instructional staff total),Grand total (EF2015_RV  All students  Undergraduate total),Grand total (EF2015_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2014_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2014_IS_RV  All full-time instructional staff total),Grand total (EF2014_RV  All students  Undergraduate total),Grand total (EF2014_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2013_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2013_IS_RV  All full-time instructional staff total),Grand total (EF2013_RV  All students  Undergraduate total),Grand total (EF2013_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2012_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2012_IS_RV  All full-time instructional staff total),Grand total (EF2012_RV  All students  Undergraduate total),Grand total (EF2012_RV  All students  Graduate and First professional),
231712,Christopher Newport University,1,277,26444761,4407,96,280,25164046,4449,110,282,24302438,4472,112,287,23511603,4758,110,289,23449112,4837,82,282,22095120,4857,100,279,21410033,4954,127,276,20589785,4930,112,275,20449813,5051,121,274,19690609,5096,125,268,18584837,5094,138,258,17030306,5046,140,
218070,Furman University,2,270,25278288,2327,178,265,24041527,2283,160,256,22648509,2307,156,260,21986369,2345,222,270,23784291,2688,140,272,23604872,2768,179,245,21679873,2734,215,237,20733108,2797,206,232,19569000,2731,153,230,18789480,2810,163,244,19696015,2797,156,246,19677953,2753,162,
167288,Massachusetts College of Liberal Arts,1,79,6652694,836,97,79,6636132,838,100,81,6441374,870,124,87,7067655,1076,126,89,7329855,1345,162,90,7105086,1277,175,87,7183561,1407,181,91,7370182,1444,200,90,6991948,1457,184,88,6515774,1562,203,87,6352184,1538,178,85,6141771,1600,199,
262129,New College of Florida,1,100,8570474,710,22,97,7802818,669,20,103,7956314,632,27,108,8368586,646,29,105,8147741,702,24,93,7112436,808,29,83,6176953,835,24,78,5774354,861,14,79,5871098,861,,76,5520349,834,,75,5415181,793,,72,4994586,832,,
186201,Ramapo College of New Jersey,1,190,22263129,5013,508,192,22309454,4932,546,207,23287034,5145,587,215,23393573,5412,630,220,23444478,5574,568,216,22694065,5609,565,216,22318233,5618,502,216,21053331,5762,472,215,21156367,5661,365,217,21286181,5710,293,216,20564495,5614,238,218,20110811,5624,193,
163912,St. Mary's College of Maryland,1,134,11808807,1577,10,122,10394318,1497,23,120,9698325,1519,25,131,10401335,1486,22,134,10543498,1467,22,142,10533505,1552,30,144,10861455,1545,28,143,10523756,1598,31,146,10491780,1708,27,147,10732381,1688,33,153,10729238,1819,39,150,10524490,1901,32,
196219,SUNY at Purchase College,1,182,14513197,3165,64,188,14440842,3107,75,183,14222406,3439,83,180,13505303,3600,85,185,13926140,4051,106,177,13387620,4134,100,173,12492797,4063,104,174,12579299,4053,103,177,12836081,4077,92,173,12523156,4124,101,169,11999726,4239,114,160,11609581,4128,112,
196167,SUNY College at Geneseo,1,214,18216433,3868,60,211,17189272,4110,74,216,17644403,4466,71,240,18535114,4829,82,252,19300160,5294,104,257,19440628,5518,94,256,18680425,5556,96,252,18517361,5512,90,252,18684797,5583,116,253,18398600,5548,110,253,18157169,5504,140,255,18171929,5388,169,
206589,The College of Wooster,2,168,13029794,1876,,177,13697286,1967,,176,13182769,1968,,183,13190126,1924,,186,13849955,1942,,186,13822876,2004,,177,13501772,1980,,179,13340004,2003,,165,12340000,2050,,171,12741940,2049,,176,12683602,2102,,170,11908315,2080,,
232681,University of Mary Washington,1,224,19277330,3611,197,236,19341510,3493,264,242,18831495,3660,296,249,18039816,3993,300,255,19307101,4182,306,254,18884483,4410,317,253,18686179,4398,410,250,17425421,4357,369,245,17286308,4320,327,250,17340253,4167,368,245,17360895,4383,448,244,16764226,4515,578,
