UnitID,Institution Name,Sector of institution (HD2023),Instructional staff - total (SAL2023_IS  All full-time instructional staff total),Salary outlays - total (SAL2023_IS  All full-time instructional staff total),Grand total (EF2023  All students  Undergraduate total),Grand total (EF2023  All students  Graduate and First professional),Instructional staff - total (SAL2022_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2022_IS_RV  All full-time instructional staff total),Grand total (EF2022_RV  All students  Undergraduate total),Grand total (EF2022_RV  All students  Graduate and First professional),Instructional staff - total (SAL2021_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2021_IS_RV  All full-time instructional staff total),Grand total (EF2021_RV  All students  Undergraduate total),Grand total (EF2021_RV  All students  Graduate and First professional),Instructional staff - total (SAL2020_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2020_IS_RV  All full-time instructional staff total),Grand total (EF2020_RV  All students  Undergraduate total),Grand total (EF2020_RV  All students  Graduate and First professional),Instructional staff - total (SAL2019_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2019_IS_RV  All full-time instructional staff total),Grand total (EF2019_RV  All students  Undergraduate total),Grand total (EF2019_RV  All students  Graduate and First professional),Instructional staff - total (SAL2018_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2018_IS_RV  All full-time instructional staff total),Grand total (EF2018_RV  All students  Undergraduate total),Grand total (EF2018_RV  All students  Graduate and First professional),Instructional staff - total (SAL2017_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2017_IS_RV  All full-time instructional staff total),Grand total (EF2017_RV  All students  Undergraduate total),Grand total (EF2017_RV  All students  Graduate and First professional),Instructional staff - total (SAL2016_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2016_IS_RV  All full-time instructional staff total),Grand total (EF2016_RV  All students  Undergraduate total),Grand total (EF2016_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2015_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2015_IS_RV  All full-time instructional staff total),Grand total (EF2015_RV  All students  Undergraduate total),Grand total (EF2015_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2014_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2014_IS_RV  All full-time instructional staff total),Grand total (EF2014_RV  All students  Undergraduate total),Grand total (EF2014_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2013_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2013_IS_RV  All full-time instructional staff total),Grand total (EF2013_RV  All students  Undergraduate total),Grand total (EF2013_RV  All students  Graduate and First professional),Instructional staff on 9  10  11 or 12 month contract-total (SAL2012_IS_RV  All full-time instructional staff total),Salary outlays - total (SAL2012_IS_RV  All full-time instructional staff total),Grand total (EF2012_RV  All students  Undergraduate total),Grand total (EF2012_RV  All students  Graduate and First professional),
197869,Appalachian State University,1,1092,89147096,19405,1848,1043,83896559,18558,1878,1033,75400833,18555,2086,1037,77921530,18061,1962,1014,76193914,17518,1762,1010,75762525,17381,1727,970,73296255,17017,1794,951,71149902,16595,1700,930,65648607,16290,1642,920,63872066,16255,1771,901,62484822,16025,1813,901,62327615,15712,1877,
198464,East Carolina University,1,1185,107121704,21328,5457,1160,101361088,21688,5463,1166,97417411,22463,5558,1218,101416835,23056,5742,1283,107622333,23081,5570,1260,105510678,23071,5647,1223,103737364,23265,5866,1224,102100994,22969,5993,1240,96020470,23039,5250,1178,88545199,22252,5259,1248,95692405,21508,5379,1213,90325351,21298,5649,
198507,Elizabeth City State University,1,88,6671014,2048,117,87,6479115,2033,116,84,5898627,1956,98,88,6178863,1910,92,89,6165571,1692,77,96,6623191,1636,41,96,6737444,1368,43,101,7004797,1310,47,101,6883673,1535,50,125,8584740,1805,62,139,9529567,2336,85,153,10653097,2760,118,
198543,Fayetteville State University,1,254,21447089,5845,1002,257,20972494,5748,1039,250,20007362,5557,1191,266,21416294,5661,1065,269,22018500,5644,907,267,21609663,5473,845,266,21536357,5393,833,256,20464090,5540,683,255,19271956,5506,598,242,18601786,5247,652,270,20386212,5410,769,277,20350064,5287,773,
199102,North Carolina A & T State University,1,475,44199299,12216,1669,478,41847998,11833,1654,462,39091215,11596,1726,473,40873581,11130,1623,460,39813004,11039,1517,449,39011624,10629,1513,445,37583191,10341,1536,455,37442045,9668,1509,411,34193399,9353,1499,439,35965285,9203,1522,462,35267995,8872,1689,470,34714355,8923,1713,
199157,North Carolina Central University,1,334,29463232,5973,1992,362,30465929,5634,1919,368,29347398,5892,2061,367,29151191,6067,2011,366,29239421,6101,1910,385,30449111,6434,1773,380,29645370,6355,1742,386,29506070,6283,1811,386,28439793,6168,1843,381,28089615,5917,1770,413,30781069,6220,1873,386,28737665,6658,1946,
199193,North Carolina State University at Raleigh,1,1911,231499158,27323,10000,1841,215081779,26254,10446,1829,197357621,26505,10326,1842,199820263,26150,9892,1769,189995508,25973,10331,1753,187909733,25199,10280,1732,182866322,24150,10282,1748,182072909,23827,9928,1702,171039021,24111,9904,1688,165690313,24473,9516,1490,140331660,24536,9473,1347,127050947,24833,9507,
199111,University of North Carolina Asheville,1,217,17451509,2907,18,218,16843822,2914,,211,15481344,3233,,224,16740245,3358,5,220,17005565,3587,13,221,16974110,3743,19,224,17448123,3826,26,224,17054401,3798,23,216,15501025,3858,33,216,15078314,3804,41,219,14602827,3736,48,213,14585548,3693,58,
199120,University of North Carolina at Chapel Hill,1,1726,244499286,20681,11553,1668,226262584,20029,11676,1627,201838749,19845,11796,1668,209270206,19395,10697,1630,203591733,19154,10723,1648,206566204,19117,10894,1667,204295194,18862,11049,1669,200650841,18522,10946,1484,170481774,18415,10669,1707,183153432,18350,10785,1630,180373367,18370,10757,1661,187469250,18503,10775,
199139,University of North Carolina at Charlotte,1,1083,112484558,23981,6317,1071,105625396,23461,6090,1065,96051902,24116,6332,1095,99234546,24175,5971,1095,98503192,24070,5545,1088,95980931,24387,5323,1080,95366426,23914,5403,1082,91690569,23404,5317,1009,81390966,22732,5251,1021,80107592,22216,5022,1016,78451633,21503,5068,952,74992581,21179,5053,
